name,ui,normalized_name,semanticTypes,definition
ileus,C1258215,ileus,Disease or Syndrome,"Afección causada por la falta de PERISTALTISMO intestinal o MOTILIDAD INTESTINAL sin alguna obstrucción mecánica. Esta interferencia del flujo de CONTENIDO INTESTINAL lleva a menudo a la OBSTRUCCIÓN INTESTINAL. El íleo puede clasificarse en postoperatorio, inflamatorio, metabólico, neurogénico, e inducido por drogas."
PIC,,,,
brachiocephalic,,,,
pigtail,C0879203,Pigtail Catheters,Medical Device,None
4.6 cm above,,,,
air space,,,,
pronounced,,,,
continued,C0549178,Continuous,Idea or Concept,Remain in force or carry on without letup; keep or maintain in unaltered condition; exist in time or space without stop or interruption.
supervening,,,,
Loss,C1517945,Loss,Quantitative Concept,A gradual decline in amount or activity.
course,C0750729,course,Temporal Concept,"Passage through time; duration; a systematic or/and orderly succession; a sequence, e.g. course of treatment; a mode of action or behavior; natural development, typical manner of proceeding."
off,C1518543,off,Qualitative Concept,No longer planned or scheduled (said of events).
field of view,C2700177,field of view,Spatial Concept,The extent of an area that is visible.
possible,C0332149,possible,Finding,Capable of happening or occurring.
Superiorly,,,,
Possible,C0332149,Possible,Finding,Capable of happening or occurring.
pleural - based,,,,
sided,,,,
withdrawn,C0424092,withdrawn,Finding,No results
approximately 5 cm,,,,
gastroesophageal,C0744316,gastroesophageal,Body Location or Region,No results
Constant,C1547014,Constant,Quantitative Concept,No results
extent,C0439792,extent,Spatial Concept,"The range, magnitude, or distance over which a thing spans an interval of distance, space, or time."
distribution,C1704711,distribution,Functional Concept,The act of distributing or spreading or apportioning.
known,C0205309,known,Qualitative Concept,"Recognized, familiar, or within the scope of knowledge."
5.6 cm,,,,
above,,,,
side,C0441987,side,Spatial Concept,"One of the two lateral margins or surfaces of a body, midway between the front and back."
ports,C1608324,Vascular Access Ports,Medical Device,Injection ports that are placed on the Luer end of the catheter or IV tubing and used as heparin locks by keeping heparin flush solution in the catheter.
axilla,C0004454,axilla,Body Location or Region,Área do corpo humano abaixo da ARTICULAÇÃO DO OMBRO.
1.8 cm above,,,,
sidehole,,,,
costal,C0035561,Bone structure of rib,"Body Part, Organ, or Organ Component","A set of twelve curved bones which connect to the vertebral column posteriorly, and terminate anteriorly as costal cartilage. Together, they form a protective cage around the internal thoracic organs."
cartilage,C0007301,cartilage,Tissue,"Necévní forma pojivové tkáně složená z CHONDROCYTŮ vestavěných do matrice, která zahrnuje CHONDROITINSULFÁTY a různé typy FIBRILÁRNÍCH KOLAGENŮ. Tři hlavní typy jsou HYALINNÍ CHRUPAVKA, VAZIVOVÁ CHRUPAVKA a ELASTICKÁ CHRUPAVKA."
heavily,,,,
annulus,C2262860,annulus,Cell Component,No results
bronchial,C0205039,bronchial,"Body Part, Organ, or Organ Component","Of, or pertaining to, the bronchus."
peripheral,C0205100,peripheral,Spatial Concept,On or near an edge or constituting an outer boundary; the outer area.
mid - to - distal,,,,
20 cm for more optimal placement,,,,
which,,,,
Pigtail,C0879203,Pigtail Catheters,Medical Device,None
pnemonia,,,,
Hila,C0456973,Hilar lymphadenopathy,Disease or Syndrome,"Hilar lymphadenopathy is swelling or enlargement of lymph nodes localised in hila, wedge-shaped anatomical structures containing pulmonary vessels, major bronchi, nerves and lymph nodes. Hilar lymph nodes are not visible on chest X-ray if they are not enlarged. Hilar lymph node enlargement can be caused by benign and malignant conditions and can be symmetrical (bilateral) or asymmetrical (unilateral). [https://orcid.org/0000-0002-4095-8489]"
indistinct,,,,
Unusual,C2700116,Unusual,Qualitative Concept,"Out of the ordinary, uncommon, or unexpected."
collection,,,,
cavitary,,,,
OG,,,,
ETT,C4049753,Endotracheal tube diameter:Len:Pt:Intubation tube:Qn,Clinical Attribute,None
good,C0205170,good,Qualitative Concept,Valuable or useful or agreeable or pleasing.
postion,,,,
Dahboff,,,,
plerual,,,,
smaller,C0547044,smaller,Qualitative Concept,"Of lower rank, degree, or importance; of reduced size, extent, or degree; more limited in quantity."
Distal,C0205108,Distal (qualifier value),Spatial Concept,Localized away from the central point of the body. [https://orcid.org/0000-0002-0736-9199]
hyperinflation,C1167782,Lung hyperinflation,Disease or Syndrome,"Abnormal permanent enlargement of the lung air spaces distal to terminal bronchiole not resulted from wall destruction, e.g. due to loss of opposite lung."
bronchiectasis,C0006267,bronchiectasis,Disease or Syndrome,"Chorobné a trvalé rozšíření průdušek. Někdy je vrozené, častěji vzniká jako následek některých (zejména opakovaných) zánětů. (cit. Velký lékařský slovník online, 2012 http://lekarske.slovniky.cz/ )"
defibrillator,C0180307,defibrillator,Medical Device,"Cardiac electrical stimulators that apply brief high-voltage electroshocks to the HEART. These stimulators are used to restore normal rhythm and contractile function in hearts of patients who are experiencing VENTRICULAR FIBRILLATION or ventricular tachycardia (TACHYCARDIA, VENTRICULAR) that is not accompanied by a palpable PULSE. Some defibrillators may also be used to correct certain noncritical dysrhythmias (called synchronized defibrillation or CARDIOVERSION), using relatively low-level discharges synchronized to the patient's ECG waveform. (UMDNS, 2003)"
electrodes,C0013812,electrodes,Manufactured Object,"conductor by which a current enters or leaves a nonmetallic medium; in electrotherapy, electrodes are instruments with a point or surface from which to transmit electric current to the body of a patient or to another instrument; in electrodiagnosis, they are needles or metal plates."
Mild - to - moderate,C1299392,Mild to moderate,Qualitative Concept,None
mild - to - moderate,C1299392,Mild to moderate,Qualitative Concept,None
triple,,,,
no change,C0442739,No status change,Finding,"<p>**Description:**There was (or is to be) no change to the item. This is primarily used when this element has not changed, but other attributes in the instance have changed.</p>"
pneumonic,,,,
coronary,C1522318,coronary,Spatial Concept,Surrounding like a crown (especially of the blood vessels surrounding the heart).
outer margin,,,,
Triple,,,,
in the expected positions,,,,
Marked,C1706089,Marked,Qualitative Concept,A prominent or noticeable characteristic.
cardiomyopathy,C0878544,Cardiomyopathies,Disease or Syndrome,"condition in which there is a deviation from or interruption of the normal structure or function of the myocardium, the middle and thickest layer of the heart wall, composed of heart muscle."
Central,C0205099,Central,Spatial Concept,Applies to an abnormality that is located close to the median plane or midline of the body or of the referenced structure. []
Position,,,,
biventricular,C0699808,biventricular,Spatial Concept,No results
pneumoperitoneum,C0032320,pneumoperitoneum,Disease or Syndrome,"Přítomnost vzduchu v břišní (peritoneální) dutině. Vzniká např. proniknutím vzduchu při perforaci některého z dutých břišních orgánů, např. jako závažná komplikace peptického vředu. Vzduch se u stojícího pacienta hromadí pod bránicí, a na rentgenovém snímku je proto patrný jako poloměsíčité (srpkovité) projasnění. (cit. Velký lékařský slovník online, 2012 http://lekarske.slovniky.cz/ )"
radiopaque,,,,
one - third,,,,
1 cm,,,,
Base,C0178499,Base,Chemical Viewed Functionally,opposite of acid
consolidated,C0702117,consolidated,Qualitative Concept,No results
mass,,,,
indeterminate,C0205258,indeterminate,Qualitative Concept,Grado o valor no conocido o establecido con exactitud.
glenohumeral,C1269056,Entire glenohumeral joint,Body Space or Junction,None
acromioclavicular,C0695640,acromioclavicular,Therapeutic or Preventive Procedure,Applying force by hand to a client's osseous and/or adjacent soft tissue structures of the acromioclavical area to restore his or her normal anatomical and/or physiological structure and/or function. Service is billed per adjustment.
joints,C0022417,joints,Body Space or Junction,"Spojení dvou nebo několika kostí plochami povlečenými chrupavkou. Kloub je obv. tvořen kloubní hlavicí a kloubní jamkou uzavřenými do kloubního pouzdra (capsula) tvořeného vazivem a zpevněného kloubními vazy (ligamenty). Někdy je mezi kloubní plochy kostí vložena ještě vazivová destička upravující funkci kloubu (např. meniskus v koleně). K. umožňuje pohyblivé spojení kostí, i když u některých k. je rozsah pohybů malý či málo nápadný (např. mezi žeberními chrupavkami a hrudní kostí). Rozsah a typ pohybu je dán uspořádáním k. a bývá omezen při kloubních onemocněních (srov. ankylóza). (cit. Velký lékařský slovník online, 2017 http://lekarske.slovniky.cz)"
Interstitial,C0596790,Interstitial,Body Location or Region,"Relating to or situated in the small, narrow spaces between tissues or parts of an organ."
Minimal to no,,,,
The right - sided,,,,
thoracentesis,C0189477,thoracentesis,Therapeutic or Preventive Procedure,The removal of excess fluid via needle puncture from the thoracic cavity.
Compression,C0728907,Compression,Natural Phenomenon or Process,"The act, process, or result of pressing together, flattening, or condensing, particularly, increasing an external physical pressure on a body structure. Also refers to the reduction in the volume of a body or substance and augmentation of its density due to pressure."
Atherosclerotic,C0333482,Atherosclerotic,Functional Concept,status similar or related to atherosclerosis
Multilevel,,,,
<<<<<<<< HEAD:nen/resource/simple/output.csv
Obscuration,,,,
Operation,,,,
Obliteration,C0332465,Obliteration,Functional Concept,No results
angles,,,,
========
Obscuration,C4727091,Obscure,Activity,Make less clear or visible.
Operation,C0543467,Operative Surgical Procedures,Therapeutic or Preventive Procedure,"Operations carried out for the correction of deformities and defects, repair of injuries, and diagnosis and cure of certain diseases. (Taber, 18th ed.)."
Obliteration,C0332465,Obliteration,No results,No results
angles,C0205143,Angular,Spatial Concept,The inclination of one line to another or the plane of one object to another.
>>>>>>>> origin/main:nen/resource/output.csv
not well visualized,,,,
not increased,,,,
No change,C0442739,No status change,Finding,"<p>**Description:**There was (or is to be) no change to the item. This is primarily used when this element has not changed, but other attributes in the instance have changed.</p>"
sized,,,,
It,,,,
<<<<<<<< HEAD:nen/resource/simple/output.csv
rounded,,,,
S,C5381851,S,Laboratory or Test Result,No results
shaped,C0332479,shaped,Spatial Concept,The spatial arrangement of something as distinct from its substance.
Peripheral,C0205100,Peripheral,Spatial Concept,On or near an edge or constituting an outer boundary; the outer area.
Opacities,,,,
Emphysema,,,,
interstitium,C2328510,interstitium,"Body Part, Organ, or Organ Component",No results
inflammatory,C0333348,inflammatory,Functional Concept,Relating to inflammation.
hyperexpansion,,,,
T 12 vertebral,,,,
nonspecific,C0750540,nonspecific,Idea or Concept,No results
bacterial,C0521009,bacterial,Qualitative Concept,No results
opportunistic,,,,
reaction to inhaled substances,,,,
Thoracolumbar,C0450219,Thoracolumbar,Spatial Concept,No results
scapular,,,,
========
rounded,C0332490,Round shape,Spatial Concept,The shape of a circle.
S,C5381851,S,No results,No results
shaped,C0332479,shaped,Spatial Concept,The spatial arrangement of something as distinct from its substance.
Peripheral,C0205100,Peripheral,Spatial Concept,On or near an edge or constituting an outer boundary; the outer area.
Opacities,C1265876,Abnormally opaque structure (morphologic abnormality),Pathologic Function,None
Emphysema,C0034067,Pulmonary Emphysema,Disease or Syndrome,"Trvale nadměrný obsah vzduchu v plicích při současném úbytku a poškození vlastní plicní tkáně. Nejčastěji součást CHOPN (obstrukční plicní nemoci). K dalším příčinám e. patří deficit alfa1 antitrypsinu, McLeodův syndrom, e. v okolí jizvení aj. Z hlediska patologické anatomie se rozlišuje e. centrilobulární, vznikající v rámci CHOPN, a panacinární. Zhoršuje výměnu plynů v plicích. Pacient trpí dušností (námahovou, později i klidovou), hyperventilace udržuje relativně dobrou saturaci krve kyslíkem (srov. pink puffer). Je snížena elasticita plic, mohou se vytvářet velké vzduchové buly (bulózní e.), při jejichž ruptuře vzniká pneumothorax. Časté je následné postižení srdce (cor pulmonale). (cit. Velký lékařský slovník online, 2014 http://lekarske.slovniky.cz/ )"
interstitium,C2328510,interstitium,No results,No results
inflammatory,C0333348,inflammatory,Functional Concept,Relating to inflammation.
hyperexpansion,C0546312,Hyperexpansion of lung,Pathologic Function,None
T 12 vertebral,C0447808,T12 thoracic vertebra,Body Space or Junction,None
nonspecific,C0750540,nonspecific,No results,No results
bacterial,C0521009,bacterial,No results,No results
opportunistic,,,,
reaction to inhaled substances,C0020517,"Hypersensitivity Reaction Type IV, Cell-Mediated",Pathologic Function,"Nepřiměřená reakce organismu na určitou běžně se vyskytující látku - alergen (pyl, prach, peří, srst, některé potraviny či léky aj.) vznikající na podkladě atopie (jde o její fenotypový projev). Podstatou a. je porucha řízení imunitního systému vedoucí k nadměrným reakcím - často spojeným s vyplavením některých látek (např. histaminu, leukotrienů a jiných mediátorů) - poškozujícím organismus či určité orgány (otok, zúžení průdušek, poruchy činnosti cév, zvýšená tvorba hlenu, ničení buněk aj.). (cit. Velký lékařský slovník online, 2017 http://lekarske.slovniky.cz/)"
Thoracolumbar,C0450219,Thoracolumbar,No results,No results
scapular,C0446464,Entire scapular region,Body Location or Region,None
>>>>>>>> origin/main:nen/resource/output.csv
Numerous,C0439064,Numerous,Quantitative Concept,An indefinite large quantity that is considered to be greater than several.
metastatic,,,,
callus,,,,
Extent,C0439792,Extent,Spatial Concept,"The range, magnitude, or distance over which a thing spans an interval of distance, space, or time."
Confluent,C0205200,Confluent,Qualitative Concept,No results
locations,C0450429,locations,Spatial Concept,"A position, site, or point in space where something can be found."
lucent,,,,
centers,,,,
<<<<<<<< HEAD:nen/resource/simple/output.csv
intersitial,,,,
congested,C1533708,congested,Functional Concept,No results
========
intersitial,C0021890,Interstitial,Pathologic Function,"Complications that affect patients during surgery. They may or may not be associated with the disease for which the surgery is done, or within the same surgical procedure."
congested,C1533708,congested,No results,No results
>>>>>>>> origin/main:nen/resource/output.csv
similar to prior radiographs,,,,
chest radiograph,C3842377,chest radiograph,Diagnostic Procedure,No results
hyperexpanded,,,,
evidence of prior smoking,C0678833,History of smoking,Cell Function,None
configurational,,,,
semi - linear,,,,
calcium,C0006675,calcium,Pharmacologic Substance,"basic element found in nearly all organized tissues; a member of the alkaline earth family of metals with the atomic symbol Ca, atomic number 20, and atomic weight 40; it is the most abundant mineral in the body and combines with phosphorus to form calcium phosphate in the bones and teeth; it is essential for the normal functioning of nerves and muscles and plays a role in blood coagulation and in many enzymatic processes."
deposits,C0333562,Deposition,Functional Concept,Accumulation of extraneous inorganic matter in tissues or cavities
hypertranslucent,,,,
degree,C5382011,degree,Quantitative Concept,No results
lucencies,,,,
wedging,,,,
<<<<<<<< HEAD:nen/resource/simple/output.csv
processes,,,,
lymphomatous,,,,
tricuspid,C0443327,tricuspid,Spatial Concept,No results
========
processes,C3714634,Biological Processes,Biologic Function,"A biological process is the execution of a genetically-encoded biological module or program. It consists of all the steps required to achieve the specific biological objective of the module. A biological process is accomplished by a particular set of molecular functions carried out by specific gene products (or macromolecular complexes), often in a highly regulated manner and in a particular temporal sequence. [GOC:pdt]"
lymphomatous,C2960101,Lymphomatous infiltration,Neoplastic Process,None
tricuspid,C0443327,tricuspid,No results,No results
>>>>>>>> origin/main:nen/resource/output.csv
replacements,,,,
waterseal,,,,
takeoff,,,,
Other,C0205394,Other,Qualitative Concept,Different than the one(s) previously specified or mentioned.
relative,C0205345,relative,Qualitative Concept,Considered in comparison with something else; dependent on or interconnected with something else; not absolute.
external,C0205101,external,Spatial Concept,"Happening or arising or located outside or beyond some limits, or especially, some surface."
Visceral,C0442045,Visceral,Spatial Concept,"Of, or relating to, or affecting the internal organs."
regions,C0005898,Body Regions,Body Location or Region,Kroppens olika anatomiska områden.
Elevated,C3163633,Elevated,Qualitative Concept,Raised or increased above normal levels or limits.
rotated,C0231458,rotated,Spatial Concept,No results
different,C1705242,different,Qualitative Concept,The quality of being unlike or dissimilar.
Trachea,C0040578,Trachea,"Body Part, Organ, or Organ Component",The cartilaginous and membranous tube descending from the larynx and branching into the right and left main bronchi.
deviated,C0012727,Spatial Displacement,Spatial Concept,None
Both,C1706086,Both,Qualitative Concept,One and the other; relating to or being two in conjunction.
no,C1298908,no,Finding,The non-affirmative response to a question.
<<<<<<<< HEAD:nen/resource/simple/output.csv
sequela,,,,
traumatic event,C4751223,traumatic event,Event,No results
========
sequela,C0543419,Sequela of disorder,Pathologic Function,"A pathologic condition that results from a disease, treatment, or injury."
traumatic event,C4751223,traumatic event,No results,No results
>>>>>>>> origin/main:nen/resource/output.csv
amount of,,,,
AC,,,,
joint,C0022417,joint,Body Space or Junction,"Spojení dvou nebo několika kostí plochami povlečenými chrupavkou. Kloub je obv. tvořen kloubní hlavicí a kloubní jamkou uzavřenými do kloubního pouzdra (capsula) tvořeného vazivem a zpevněného kloubními vazy (ligamenty). Někdy je mezi kloubní plochy kostí vložena ještě vazivová destička upravující funkci kloubu (např. meniskus v koleně). K. umožňuje pohyblivé spojení kostí, i když u některých k. je rozsah pohybů malý či málo nápadný (např. mezi žeberními chrupavkami a hrudní kostí). Rozsah a typ pohybu je dán uspořádáním k. a bývá omezen při kloubních onemocněních (srov. ankylóza). (cit. Velký lékařský slovník online, 2017 http://lekarske.slovniky.cz)"
resorption,C2985494,resorption,Organism Function,No results
Overlying,,,,
EKG,C0013798,Electrocardiogram,Diagnostic Procedure,"A study that evaluates the effect of a treatment on cardiac electrical activity, as assessed by electrocardiography."
Minimally,,,,
Bronchovascular,C2326513,Bronchovascular bundle,Body Location or Region,None
Chronic,C0205191,Chronic,Temporal Concept,"Condition lasting for more than 3-6 months, or persisting beyond the course of an acute disease, or after tissue healing is complete."
separation,,,,
